work_key,author,source_site,page_title,page_url,birth_year,death_year,target,decision_reason,extraction_method,song_context,evidence_text,status
不詳/暮春山間,黃公度,wikipedia,黃公度,https://zh.wikipedia.org/wiki/%E9%BB%83%E5%85%AC%E5%BA%A6,1109,1156,南宋,death_year_1156_gt_1127,categories,True,1109年出生；1156年逝世,resolved
不詳/書洛陽名園記後,李格非,wikisource,Author:李格非,https://zh.wikisource.org/wiki/Author:%E6%9D%8E%E6%A0%BC%E9%9D%9E,1045,1105,北宋,death_year_1105_le_1127,categories,True,1045年出生；1105年逝世,resolved
不詳/書通濟僧壁,陳舜俞,wikisource,,,,,,,,False,,missing_page
不詳/書通濟僧壁,陳舜俞,wikisource,,,,,,,,False,,missing_page
不詳/書通濟僧壁,陳舜俞,wikipedia,陳舜俞,https://zh.wikipedia.org/wiki/%E9%99%B3%E8%88%9C%E4%BF%9E,1026,1076,北宋,death_year_1076_le_1127,categories,True,1026年出生；1076年逝世,resolved
不詳/曾鞏墓誌,林希,wikisource,,,,,,,,False,,missing_page
不詳/曾鞏墓誌,林希,wikisource,,,,,,,,False,,missing_page
不詳/曾鞏墓誌,林希,wikipedia,林希,https://zh.wikipedia.org/wiki/%E6%9E%97%E5%B8%8C,1035,1101,北宋,death_year_1101_le_1127,categories,True,1035年出生；1101年逝世,resolved
不詳/曾鞏神道碑,韓維,wikisource,,,,,,,,False,,missing_page
不詳/曾鞏神道碑,韓維,wikisource,,,,,,,,False,,missing_page
不詳/曾鞏神道碑,韓維,wikipedia,韓維,https://zh.wikipedia.org/wiki/%E9%9F%93%E7%B6%AD,1017,1098,北宋,death_year_1098_le_1127,categories,True,1017年出生；1098年逝世,resolved
不詳/月巖齋詩,李廌,wikisource,Author:李廌,https://zh.wikisource.org/wiki/Author:%E6%9D%8E%E5%BB%8C,1059,1109,北宋,death_year_1109_le_1127,categories,True,1059年出生；1109年逝世,resolved
不詳/朝陰,呂陶,wikisource,,,,,,,,False,,missing_page
不詳/朝陰,呂陶,wikisource,,,,,,,,False,,missing_page
不詳/朝陰,呂陶,wikipedia,呂陶,https://zh.wikipedia.org/wiki/%E5%91%82%E9%99%B6,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/木文真人章聖朝合州進到其事甚怪至京其木中人呼萬歲者三韶賜崇福宮,李廌,wikisource,Author:李廌,https://zh.wikisource.org/wiki/Author:%E6%9D%8E%E5%BB%8C,1059,1109,北宋,death_year_1109_le_1127,categories,True,1059年出生；1109年逝世,resolved
不詳/本心斋疏食谱,陳達叟,wikisource,,,,,,,,False,,missing_page
不詳/本心斋疏食谱,陳達叟,wikisource,,,,,,,,False,,missing_page
不詳/本心斋疏食谱,陳達叟,wikipedia,,,,,,,,False,,missing_page
不詳/朱氏天和堂,徐鐸,wikisource,,,,,,,,False,,missing_page
不詳/朱氏天和堂,徐鐸,wikisource,,,,,,,,False,,missing_page
不詳/朱氏天和堂,徐鐸,wikipedia,徐铎,https://zh.wikipedia.org/wiki/%E5%BE%90%E9%93%8E,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/村晚,雷震,wikisource,,,,,,,,False,,missing_page
不詳/村晚,雷震,wikisource,,,,,,,,False,,missing_page
不詳/村晚,雷震,wikipedia,雷震,https://zh.wikipedia.org/wiki/%E9%9B%B7%E9%9C%87,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/杜工部草堂詩話,蔡夢弼,wikisource,,,,,,,,False,,missing_page
不詳/杜工部草堂詩話,蔡夢弼,wikisource,,,,,,,,False,,missing_page
不詳/杜工部草堂詩話,蔡夢弼,wikipedia,,,,,,,,False,,missing_page
不詳/東人之文四六,崔瀣,wikisource,,,,,,,,False,,missing_page
