priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,one_or_more_authors_have_no_usable_date,不詳/宣和北苑貢茶錄,陸羽,陸羽,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/宣和奉使高麗圖經,徐兢,徐兢,,43,,,
low,no_author_candidate,不詳/宣和畫譜,,,,20,宣和畫譜 | 宣和畫譜__juan_01.txt | 宣和畫譜/卷一 | 宣和畫譜__juan_02.txt | 宣和畫譜/卷二 | 宣和畫譜__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/宮詞 (武衍),武衍,武衍,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/寂調音所問經,法海,法海,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/寒夜 (杜耒),杜耒,杜耒,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/察病指南,施桂堂,施桂堂,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/射經,王踞,王踞,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/小兒痘疹方論,陳文中,陳文中,,1,,,
low,no_author_candidate,不詳/小兒藥證直訣,,,,1,小兒藥證直訣 | 小兒藥證直訣__juan_01.txt,,
low,no_author_candidate,不詳/小兒衛生總微論方,,,,1,小兒衛生總微論方 | 小兒衛生總微論方__juan_01.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/尼乾子問無我義經,馬鳴菩薩,馬鳴菩薩,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/尼拘陀梵志經,佛陀耶舍,佛陀耶舍,,2,,,
low,no_author_candidate,不詳/幼幼新書,,,,40,幼幼新書 | 幼幼新書__juan_01.txt | 幼幼新書/1 | 幼幼新書__juan_02.txt | 幼幼新書/10 | 幼幼新書__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/廣大發願頌,龍樹菩薩,龍樹菩薩,,1,,,
low,no_author_candidate,不詳/廣釋菩提心論,,,,4,廣釋菩提心論 | 廣釋菩提心論__juan_01.txt | 廣釋菩提心論/卷001 | 廣釋菩提心論__juan_02.txt | 廣釋菩提心論/卷002 | 廣釋菩提心論__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/彥周詩話,許顗,許顗,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/從駕記,陳隨隱,陳隨隱,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/復雅歌詞,鮦陽居士,鮦陽居士,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/微招 (梅),梅,梅,,1,,,
low,no_author_candidate,不詳/心性罪福因緣集,,,,1,心性罪福因緣集 | 心性罪福因緣集__juan_01.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/念奴嬌 (李億),李億,李億,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/思古堂,劉濤,劉濤,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/思陵翰墨志,高宗皇帝,高宗皇帝,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/愛日齋叢抄,葉釐,葉釐,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/感皇恩 (趙企),趙企,趙企,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/拙軒詞話,張侃,張侃,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/指歸集,吳悟,吳悟,,1,,,
low,no_author_candidate,不詳/搜神祕覽,,,,3,搜神祕覽 | 搜神祕覽__juan_01.txt | 搜神祕覽/卷上 | 搜神祕覽__juan_02.txt | 搜神祕覽/卷中 | 搜神祕覽__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/攝生月令,姚稱,姚稱,,1,,,
low,no_author_candidate,不詳/文山集,,,,21,文山集 | 文山集__juan_01.txt | 文山集/卷一 | 文山集__juan_02.txt | 文山集/卷二 | 文山集__juan_03.txt,,
low,no_author_candidate,不詳/文苑英華,,,,1,文苑英華 | 文苑英華__juan_01.txt | 文苑英華/卷1000,,
low,no_author_candidate,不詳/新編五代史平話,,,,7,新編五代史平話 | 新編五代史平話__juan_01.txt | 新編五代史平話/01 | 新編五代史平話__juan_02.txt | 新編五代史平話/02 | 新編五代史平話__juan_03.txt,,
low,no_author_candidate,不詳/新雕大唐三藏法師取經記,,,,1,新雕大唐三藏法師取經記 | 新雕大唐三藏法師取經記__juan_01.txt,,
