status,note,source_folder,target_folder,work_rel,source_path,target_path,authors,date_evidence,file_count
moved,,不詳,北宋,宿峻極中院,不詳/宿峻極中院,北宋/宿峻極中院,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,宿崇聖,不詳/宿崇聖,北宋/宿崇聖,周敦頤,周敦頤:wikisource:1073:1017:death_year_1073_le_1127,1
moved,,不詳,南宋,小重山 (岳飛),不詳/小重山 (岳飛),南宋/小重山 (岳飛),岳飛,岳飛:wikisource:1142:1103:death_year_1142_gt_1127,1
moved,,不詳,北宋,山口,不詳/山口,北宋/山口,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,南宋,崇正辯,不詳/崇正辯,南宋/崇正辯,胡寅,胡寅:wikisource:1151:1098:death_year_1151_gt_1127,3
moved,,不詳,北宋,巨野,不詳/巨野,北宋/巨野,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,南宋,平泉草木記跋,不詳/平泉草木記跋,南宋/平泉草木記跋,葉夢得,葉夢得:wikisource:1148:1077:death_year_1148_gt_1127,1
moved,,不詳,北宋,後山詩話,不詳/後山詩話,北宋/後山詩話,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,南宋,御書屯田三事跋,不詳/御書屯田三事跋,南宋/御書屯田三事跋,岳飛,岳飛:wikisource:1142:1103:death_year_1142_gt_1127,1
moved,,不詳,南宋,復西京長水縣捷奏,不詳/復西京長水縣捷奏,南宋/復西京長水縣捷奏,岳飛,岳飛:wikisource:1142:1103:death_year_1142_gt_1127,1
moved,,不詳,北宋,德隅齋畫品,不詳/德隅齋畫品,北宋/德隅齋畫品,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,思歸舊隠,不詳/思歸舊隠,北宋/思歸舊隠,周敦頤,周敦頤:wikisource:1073:1017:death_year_1073_le_1127,1
moved,,不詳,南宋,慶全庵桃花,不詳/慶全庵桃花,南宋/慶全庵桃花,謝枋得,謝枋得:wikipedia:1289:1226:death_year_1289_gt_1127,1
moved,,不詳,南宋,憫農 (李流謙),不詳/憫農 (李流謙),南宋/憫農 (李流謙),李流謙,李流謙:wikisource:1176:1123:death_year_1176_gt_1127,1
moved,,不詳,北宋,憶少子,不詳/憶少子,北宋/憶少子,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,憶江西提刑何仲容,不詳/憶江西提刑何仲容,北宋/憶江西提刑何仲容,周敦頤,周敦頤:wikisource:1073:1017:death_year_1073_le_1127,1
moved,,不詳,北宋,懷荆南舊遊,不詳/懷荆南舊遊,北宋/懷荆南舊遊,元絳,元絳:wikipedia:1083:1009:death_year_1083_le_1127,1
moved,,不詳,南宋,戒子通錄,不詳/戒子通錄,南宋/戒子通錄,劉清之,劉清之:wikipedia:1189:1133:death_year_1189_gt_1127,1
moved,,不詳,北宋,戲作示程、範二公,不詳/戲作示程、範二公,北宋/戲作示程、範二公,韓維,韓維:wikipedia:1098:1017:death_year_1098_le_1127,1
moved,,不詳,南宋,打球圖,不詳/打球圖,南宋/打球圖,晁說之,晁說之:wikisource:1129:1059:death_year_1129_gt_1127,1
moved,,不詳,北宋,挽詞 (陳師道),不詳/挽詞 (陳師道),北宋/挽詞 (陳師道),陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,揚州芍藥譜 (孔武仲),不詳/揚州芍藥譜 (孔武仲),北宋/揚州芍藥譜 (孔武仲),孔武仲,孔武仲:wikipedia:1098:1042:death_year_1098_le_1127,1
moved,,不詳,北宋,文仙,不詳/文仙,北宋/文仙,徐積,徐積:wikipedia:1103:1028:death_year_1103_le_1127,1
moved,,不詳,南宋,斐然集,不詳/斐然集,南宋/斐然集,胡寅,胡寅:wikisource:1151:1098:death_year_1151_gt_1127,4
moved,,不詳,南宋,春日遊湖上,不詳/春日遊湖上,南宋/春日遊湖上,徐俯,徐俯:wikisource:1141:1075:death_year_1141_gt_1127,1
moved,,不詳,南宋,春日隄上,不詳/春日隄上,南宋/春日隄上,項安世,項安世:wikipedia:1208:1153:death_year_1208_gt_1127,1
moved,,不詳,南宋,昭州自強齋,不詳/昭州自強齋,南宋/昭州自強齋,徐俯,徐俯:wikisource:1141:1075:death_year_1141_gt_1127,1
moved,,不詳,南宋,昭靈夫人祠詩,不詳/昭靈夫人祠詩,南宋/昭靈夫人祠詩,晁以道,晁以道:wikipedia:1129:1059:death_year_1129_gt_1127,1
moved,,不詳,北宋,晁無咎張文潛見過,不詳/晁無咎張文潛見過,北宋/晁無咎張文潛見過,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,時賢本事曲子集,不詳/時賢本事曲子集,北宋/時賢本事曲子集,楊繪,楊繪:wikipedia:1088:1027:death_year_1088_le_1127,1
moved,,不詳,北宋,暑雨,不詳/暑雨,北宋/暑雨,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,南宋,暮春山間,不詳/暮春山間,南宋/暮春山間,黃公度,黃公度:wikipedia:1156:1109:death_year_1156_gt_1127,1
moved,,不詳,北宋,書洛陽名園記後,不詳/書洛陽名園記後,北宋/書洛陽名園記後,李格非,李格非:wikisource:1105:1045:death_year_1105_le_1127,1
moved,,不詳,北宋,書通濟僧壁,不詳/書通濟僧壁,北宋/書通濟僧壁,陳舜俞,陳舜俞:wikipedia:1076:1026:death_year_1076_le_1127,1
moved,,不詳,北宋,曾鞏墓誌,不詳/曾鞏墓誌,北宋/曾鞏墓誌,林希,林希:wikipedia:1101:1035:death_year_1101_le_1127,1
moved,,不詳,北宋,曾鞏神道碑,不詳/曾鞏神道碑,北宋/曾鞏神道碑,韓維,韓維:wikipedia:1098:1017:death_year_1098_le_1127,1
