folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷37,,,37,中國漢文\raw\三國\全三國文\全三國文__juan_37.txt,中國漢文\clean\三國\全三國文\全三國文__juan_37.txt,9561,9470,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷38,,,38,中國漢文\raw\三國\全三國文\全三國文__juan_38.txt,中國漢文\clean\三國\全三國文\全三國文__juan_38.txt,6606,6501,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷39,,,39,中國漢文\raw\三國\全三國文\全三國文__juan_39.txt,中國漢文\clean\三國\全三國文\全三國文__juan_39.txt,8025,7930,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷40,,,40,中國漢文\raw\三國\全三國文\全三國文__juan_40.txt,中國漢文\clean\三國\全三國文\全三國文__juan_40.txt,7520,7424,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷41,,,41,中國漢文\raw\三國\全三國文\全三國文__juan_41.txt,中國漢文\clean\三國\全三國文\全三國文__juan_41.txt,6470,6378,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷42,,,42,中國漢文\raw\三國\全三國文\全三國文__juan_42.txt,中國漢文\clean\三國\全三國文\全三國文__juan_42.txt,11036,10952,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷43,,,43,中國漢文\raw\三國\全三國文\全三國文__juan_43.txt,中國漢文\clean\三國\全三國文\全三國文__juan_43.txt,7115,7014,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷44,,,44,中國漢文\raw\三國\全三國文\全三國文__juan_44.txt,中國漢文\clean\三國\全三國文\全三國文__juan_44.txt,8216,8122,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷45,,,45,中國漢文\raw\三國\全三國文\全三國文__juan_45.txt,中國漢文\clean\三國\全三國文\全三國文__juan_45.txt,8184,8101,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷46,,,46,中國漢文\raw\三國\全三國文\全三國文__juan_46.txt,中國漢文\clean\三國\全三國文\全三國文__juan_46.txt,8400,8312,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷47,,,47,中國漢文\raw\三國\全三國文\全三國文__juan_47.txt,中國漢文\clean\三國\全三國文\全三國文__juan_47.txt,6089,6006,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷48,,,48,中國漢文\raw\三國\全三國文\全三國文__juan_48.txt,中國漢文\clean\三國\全三國文\全三國文__juan_48.txt,6384,6300,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷49,,,49,中國漢文\raw\三國\全三國文\全三國文__juan_49.txt,中國漢文\clean\三國\全三國文\全三國文__juan_49.txt,6983,6899,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷50,,,50,中國漢文\raw\三國\全三國文\全三國文__juan_50.txt,中國漢文\clean\三國\全三國文\全三國文__juan_50.txt,7489,7398,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷51,,,51,中國漢文\raw\三國\全三國文\全三國文__juan_51.txt,中國漢文\clean\三國\全三國文\全三國文__juan_51.txt,6384,6280,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷52,,,52,中國漢文\raw\三國\全三國文\全三國文__juan_52.txt,中國漢文\clean\三國\全三國文\全三國文__juan_52.txt,7255,7168,0
