folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_count,min_juan_index,max_juan_index,total_char_count_raw,total_char_count_clean,empty_juan_count,example_raw_path,example_clean_path
clean,中國漢文,三國,大暑賦 (劉楨),,大暑賦 (劉楨),大暑賦 (劉楨),大暑賦 (劉楨),,,1,1,1,179,142,0,中國漢文\raw\三國\大暑賦 (劉楨)\大暑賦 (劉楨)__juan_01.txt,中國漢文\clean\三國\大暑賦 (劉楨)\大暑賦 (劉楨)__juan_01.txt
clean,中國漢文,三國,失題 (劉楨),,失題 (劉楨),失題 (劉楨),失題 (劉楨),,,1,1,1,164,127,0,中國漢文\raw\三國\失題 (劉楨)\失題 (劉楨)__juan_01.txt,中國漢文\clean\三國\失題 (劉楨)\失題 (劉楨)__juan_01.txt
clean,中國漢文,三國,奕勢,,奕勢,奕勢,奕勢,,,1,1,1,431,394,0,中國漢文\raw\三國\奕勢\奕勢__juan_01.txt,中國漢文\clean\三國\奕勢\奕勢__juan_01.txt
clean,中國漢文,三國,射鳶,,射鳶,射鳶,射鳶,,,1,1,1,128,91,0,中國漢文\raw\三國\射鳶\射鳶__juan_01.txt,中國漢文\clean\三國\射鳶\射鳶__juan_01.txt
clean,中國漢文,三國,弊魔試目連經,,弊魔試目連經,弊魔試目連經,弊魔試目連經,,,1,1,1,2869,2783,0,中國漢文\raw\三國\弊魔試目連經\弊魔試目連經__juan_01.txt,中國漢文\clean\三國\弊魔試目連經\弊魔試目連經__juan_01.txt
clean,中國漢文,三國,征賦,,征賦,征賦,征賦,,,1,1,1,167,130,0,中國漢文\raw\三國\征賦\征賦__juan_01.txt,中國漢文\clean\三國\征賦\征賦__juan_01.txt
clean,中國漢文,三國,復弟孚書,,復弟孚書,復弟孚書,復弟孚書,,,1,1,1,120,39,0,中國漢文\raw\三國\復弟孚書\復弟孚書__juan_01.txt,中國漢文\clean\三國\復弟孚書\復弟孚書__juan_01.txt
clean,中國漢文,三國,惟日雜難經,,惟日雜難經,惟日雜難經,惟日雜難經,,,1,1,1,7550,7507,0,中國漢文\raw\三國\惟日雜難經\惟日雜難經__juan_01.txt,中國漢文\clean\三國\惟日雜難經\惟日雜難經__juan_01.txt
clean,中國漢文,三國,愁霖賦 (應瑒),,愁霖賦 (應瑒),愁霖賦 (應瑒),愁霖賦 (應瑒),,,1,1,1,169,132,0,中國漢文\raw\三國\愁霖賦 (應瑒)\愁霖賦 (應瑒)__juan_01.txt,中國漢文\clean\三國\愁霖賦 (應瑒)\愁霖賦 (應瑒)__juan_01.txt
clean,中國漢文,三國,慜驥賦,,慜驥賦,慜驥賦,慜驥賦,,,1,1,1,293,256,0,中國漢文\raw\三國\慜驥賦\慜驥賦__juan_01.txt,中國漢文\clean\三國\慜驥賦\慜驥賦__juan_01.txt
clean,中國漢文,三國,應休璉集,,應休璉集,應休璉集,應休璉集,,,1,1,1,3267,3220,0,中國漢文\raw\三國\應休璉集\應休璉集__juan_01.txt,中國漢文\clean\三國\應休璉集\應休璉集__juan_01.txt
clean,中國漢文,三國,應德璉集,,應德璉集,應德璉集,應德璉集/內文,,,1,1,1,3454,3415,0,中國漢文\raw\三國\應德璉集\應德璉集__juan_01.txt,中國漢文\clean\三國\應德璉集\應德璉集__juan_01.txt
clean,中國漢文,三國,教,,教,教,教,,,1,1,1,279,242,0,中國漢文\raw\三國\教\教__juan_01.txt,中國漢文\clean\三國\教\教__juan_01.txt
clean,中國漢文,三國,文質論 (應瑒),,文質論 (應瑒),文質論 (應瑒),文質論 (應瑒),,,1,1,1,645,608,0,中國漢文\raw\三國\文質論 (應瑒)\文質論 (應瑒)__juan_01.txt,中國漢文\clean\三國\文質論 (應瑒)\文質論 (應瑒)__juan_01.txt
clean,中國漢文,三國,梵摩渝經,,梵摩渝經,梵摩渝經,梵摩渝經,,,1,1,1,4819,4769,0,中國漢文\raw\三國\梵摩渝經\梵摩渝經__juan_01.txt,中國漢文\clean\三國\梵摩渝經\梵摩渝經__juan_01.txt
clean,中國漢文,三國,楊柳賦,,楊柳賦,楊柳賦,楊柳賦,,,1,1,1,124,87,0,中國漢文\raw\三國\楊柳賦\楊柳賦__juan_01.txt,中國漢文\clean\三國\楊柳賦\楊柳賦__juan_01.txt
clean,中國漢文,三國,檄文,,檄文,檄文,檄文,,,1,1,1,78,41,0,中國漢文\raw\三國\檄文\檄文__juan_01.txt,中國漢文\clean\三國\檄文\檄文__juan_01.txt
clean,中國漢文,三國,正情賦,,正情賦,正情賦,正情賦,,,1,1,1,350,313,0,中國漢文\raw\三國\正情賦\正情賦__juan_01.txt,中國漢文\clean\三國\正情賦\正情賦__juan_01.txt
clean,中國漢文,三國,步騭諫吳主孫權疏,,步騭諫吳主孫權疏,步騭諫吳主孫權疏,步騭諫吳主孫權疏,,,1,1,1,668,631,0,中國漢文\raw\三國\步騭諫吳主孫權疏\步騭諫吳主孫權疏__juan_01.txt,中國漢文\clean\三國\步騭諫吳主孫權疏\步騭諫吳主孫權疏__juan_01.txt
clean,中國漢文,三國,清慮賦,,清慮賦,清慮賦,清慮賦,,,1,1,1,104,67,0,中國漢文\raw\三國\清慮賦\清慮賦__juan_01.txt,中國漢文\clean\三國\清慮賦\清慮賦__juan_01.txt
clean,中國漢文,三國,漢嘉金書,,漢嘉金書,漢嘉金書,漢嘉金書,,,1,1,1,111,27,0,中國漢文\raw\三國\漢嘉金書\漢嘉金書__juan_01.txt,中國漢文\clean\三國\漢嘉金書\漢嘉金書__juan_01.txt
clean,中國漢文,三國,為武帝與劉備書,,為武帝與劉備書,為武帝與劉備書,為武帝與劉備書,,,1,1,1,78,41,0,中國漢文\raw\三國\為武帝與劉備書\為武帝與劉備書__juan_01.txt,中國漢文\clean\三國\為武帝與劉備書\為武帝與劉備書__juan_01.txt
clean,中國漢文,三國,爵封田疇令,,爵封田疇令,爵封田疇令,爵封田疇令,,,1,1,1,283,246,0,中國漢文\raw\三國\爵封田疇令\爵封田疇令__juan_01.txt,中國漢文\clean\三國\爵封田疇令\爵封田疇令__juan_01.txt
clean,中國漢文,三國,瓜賦 (劉楨),,瓜賦 (劉楨),瓜賦 (劉楨),瓜賦 (劉楨),,,1,1,1,247,210,0,中國漢文\raw\三國\瓜賦 (劉楨)\瓜賦 (劉楨)__juan_01.txt,中國漢文\clean\三國\瓜賦 (劉楨)\瓜賦 (劉楨)__juan_01.txt
clean,中國漢文,三國,祀六宗議,,祀六宗議,祀六宗議,祀六宗議,,,1,1,1,162,124,0,中國漢文\raw\三國\祀六宗議\祀六宗議__juan_01.txt,中國漢文\clean\三國\祀六宗議\祀六宗議__juan_01.txt
clean,中國漢文,三國,私呵昧經,,私呵昧經,私呵昧經,私呵昧經,,,1,1,1,5894,5855,0,中國漢文\raw\三國\私呵昧經\私呵昧經__juan_01.txt,中國漢文\clean\三國\私呵昧經\私呵昧經__juan_01.txt
clean,中國漢文,三國,稱姚伷教,,稱姚伷教,稱姚伷教,稱姚伷教,,,1,1,1,207,169,0,中國漢文\raw\三國\稱姚伷教\稱姚伷教__juan_01.txt,中國漢文\clean\三國\稱姚伷教\稱姚伷教__juan_01.txt
clean,中國漢文,三國,稱殷禮,,稱殷禮,稱殷禮,稱殷禮,,,1,1,1,108,27,0,中國漢文\raw\三國\稱殷禮\稱殷禮__juan_01.txt,中國漢文\clean\三國\稱殷禮\稱殷禮__juan_01.txt
clean,中國漢文,三國,稱董厥,,稱董厥,稱董厥,稱董厥,,,1,1,1,121,39,0,中國漢文\raw\三國\稱董厥\稱董厥__juan_01.txt,中國漢文\clean\三國\稱董厥\稱董厥__juan_01.txt
clean,中國漢文,三國,稱蔣琬,,稱蔣琬,稱蔣琬,稱蔣琬,,,1,1,1,117,35,0,中國漢文\raw\三國\稱蔣琬\稱蔣琬__juan_01.txt,中國漢文\clean\三國\稱蔣琬\稱蔣琬__juan_01.txt
clean,中國漢文,三國,稱龐統廖立,,稱龐統廖立,稱龐統廖立,稱龐統廖立,,,1,1,1,119,37,0,中國漢文\raw\三國\稱龐統廖立\稱龐統廖立__juan_01.txt,中國漢文\clean\三國\稱龐統廖立\稱龐統廖立__juan_01.txt
clean,中國漢文,三國,笑林,,笑林,笑林,笑林,,,1,1,1,3012,3003,0,中國漢文\raw\三國\笑林\笑林__juan_01.txt,中國漢文\clean\三國\笑林\笑林__juan_01.txt
clean,中國漢文,三國,答太子書,,答太子書,答太子書,答太子書,,,1,1,1,248,211,0,中國漢文\raw\三國\答太子書\答太子書__juan_01.txt,中國漢文\clean\三國\答太子書\答太子書__juan_01.txt
clean,中國漢文,三國,答惜赦,,答惜赦,答惜赦,答惜赦,,,1,1,1,173,135,0,中國漢文\raw\三國\答惜赦\答惜赦__juan_01.txt,中國漢文\clean\三國\答惜赦\答惜赦__juan_01.txt
clean,中國漢文,三國,答韓文憲書,,答韓文憲書,答韓文憲書,答韓文憲書,,,1,1,1,169,132,0,中國漢文\raw\三國\答韓文憲書\答韓文憲書__juan_01.txt,中國漢文\clean\三國\答韓文憲書\答韓文憲書__juan_01.txt
