"chars","n"
"潭",181188
"㣲",181086
"枚",180925
"秘",180658
"罔",180418
"藉",180061
"夾",179813
"測",179757
"潮",179750
"聘",179721
"漫",179698
"苗",179466
"佩",179114
"裡",178782
"滋",178548
"鑑",178529
"僅",178352
"巢",178191
"鬱",178173
"擾",178073
"誓",177963
"酬",177585
"範",177241
"訶",177214
"箇",177068
"訟",176978
"秉",176936
"捕",176902
"狄",176715
"坎",176673
"苓",176668
"滑",176667
"恤",176645
"整",176576
"漁",176555
"削",176358
"痰",176266
"譬",176248
"溝",175983
"腸",175851
"弼",175776
"塔",175611
"欺",175262
"崩",175223
"健",175059
"凉",174950
"課",174897
"晏",174635
"拒",174321
"擧",174256
"披",174128
"悅",174103
"灰",173983
"疆",173728
"头",173386
"栁",173331
"粗",173313
"扵",173044
"杯",172866
"蓬",172780
"洋",172763
"踰",172676
"距",172452
"煮",172152
"慢",172133
"牽",172131
"娶",171991
"譜",171659
"宏",171657
"藻",170470
"托",170442
"冰",170249
"裕",170179
"坊",170062
"賣",170030
"版",169847
"創",169847
"胥",169656
"伍",169625
"嫁",169283
"算",169187
"灌",169002
"臥",168896
"枕",168714
"䝉",168525
"戍",168430
"涕",168312
"冒",168233
"饮",168020
"遙",167926
"産",167699
"叫",167568
"劫",167454
"乏",167433
"哈",167381
"嫌",167187
"牢",167182
"祈",167050
"肥",167032
"潔",166937
"誌",166763
"逮",166668
"妹",166002
"陀",165678
"奚",165476
"響",165444
"障",165093
"卓",165056
"梧",164699
"犬",164696
"騰",164673
"圭",164488
"羞",164174
"託",163953
"䇿",163895
"辯",163877
"实",163811
"瓊",163259
"拂",163129
"頻",162745
"泄",162320
"淡",162278
"添",162261
"数",161989
"决",161966
"凌",161887
"斥",161656
"閭",161572
"僚",161554
"崖",161473
"較",161282
"峻",161187
"隸",161089
"筋",160869
"墮",160811
"渴",160777
"毎",160667
"唱",160598
"警",160572
"冥",160554
"歐",160539
"姦",160506
"鄧",160492
"猛",160410
"割",160289
"宦",160182
"璧",160180
"荊",160111
"饒",159436
"產",159423
"翔",159090
"茲",159039
"恃",159011
"叶",159002
"滯",158816
"巾",158258
"昆",158251
"彙",158242
"幣",157957
"榖",157905
"貳",157643
"裳",157609
"什",157342
"曠",157263
"垣",156918
"油",156543
"寬",156234
"瘡",156213
"壺",156208
"砂",155939
"逼",155920
"熊",155682
"玩",155659
"泛",155634
"鑿",155335
"值",154817
"裴",154722
"芝",154348
"俄",154075
"排",154064
"陂",153924
"柏",153848
"傑",153813
"低",153568
"术",153550
"聰",153379
"板",153379
"哲",152936
"棲",152927
"僉",152777
"岐",152707
"姬",152706
"繞",152407
"憑",152173
"徴",152125
"暫",152111
"眷",152111
"叢",151856
"彈",151750
"毁",151664
"綿",151582
"繡",151400
"擁",151202
"蒸",150952
"帳",150903
"寨",150879
"鋒",150697
"迴",150542
"隅",150088
"欣",149738
"薑",149641
"輝",149453
"準",149423
"惱",149325
"幕",149187
"鸞",148945
"聊",148915
"儲",148442
"孚",148408
"囚",148387
"飄",148092
"譽",148013
"貶",147894
"系",147668
"緑",147567
"溢",147548
"瓦",147514
"誣",147512
"掃",147345
"褒",147095
"伸",146931
"碎",146858
"茯",146777
"莽",146756
"繩",146702
"胎",146663
"擒",146435
"薨",146341
"眠",146042
"狐",145824
"睡",145747
"爽",145704
"濁",145666
"銜",145562
"亟",145244
"燥",144815
"懿",144713
"嘆",144641
"跪",144633
"诸",144493
"映",144327
"𫝊",143765
"箭",143719
"鑒",143432
"霧",143155
"疎",143074
"鳯",142956
"调",142954
"墜",142901
"探",142896
"脚",142888
"恥",142752
"閱",142717
"萊",142339
"獵",142271
"團",142004
"娘",141914
"门",141885
"競",141868
"肩",141845
"掠",141642
"鋪",141456
"攸",141260
"祗",141176
"踐",141094
