character,laoguoyin,zhuyin,ipa,codepoint
冥,mi5,ㄇㄧ5,mi5,U+51A5
冥,ming2,ㄇㄧㄥ2,,U+51A5
冥,ming3,ㄇㄧㄥ3,,U+51A5
冬,dung1,ㄉㄨㄥ1,tʊŋ1,U+51AC
冲,chung1,ㄔㄨㄥ1,ʈʂʰʊŋ1,U+51B2
决,jyue5,ㄐㄩㄝ5,tɕyɛ5,U+51B3
冶,ye3,ㄧㄝ3,iɛ3,U+51B6
冷,leng3,ㄌㄥ3,ləŋ3,U+51B7
净,zing4,ㄗㄧㄥ4,,U+51C0
凄,cyi1,ㄘㄧ1,tsʰi1,U+51C4
准,zhun3,ㄓㄨㄣ3,ʈʂuən3,U+51C6
凈,zing4,ㄗㄧㄥ4,,U+51C8
凉,liang2,ㄌㄧㄤ2,,U+51C9
凋,diau1,ㄉㄧㄠ1,tiɑʊ1,U+51CB
凍,dung4,ㄉㄨㄥ4,tʊŋ4,U+51CD
凑,ceu4,ㄘㄡ4,tsʰoʊ4,U+51D1
凝,njing2,ㄬㄧㄥ2,,U+51DD
几,ji1,ㄐㄧ1,tɕi1,U+51E0
処,chu3,ㄔㄨ3,ʈʂʰu3,U+51E6
処,chu4,ㄔㄨ4,ʈʂʰu4,U+51E6
凰,huang2,ㄏㄨㄤ2,,U+51F0
凱,kai3,ㄎㄞ3,kʰaɪ3,U+51F1
凶,xyung1,ㄒㄩㄥ1,ɕyŋ1,U+51F6
凸,die5,ㄉㄧㄝ5,tiɛ5,U+51F8
凸,tu5,ㄊㄨ5,tʰu5,U+51F8
凹,au,ㄠ,ɑʊ,U+51F9
凹,au1,ㄠ1,ɑʊ1,U+51F9
出,chu5,ㄔㄨ5,ʈʂʰu5,U+51FA
出,chuei4,ㄔㄨㄟ4,ʈʂʰueɪ4,U+51FA
函,han2,ㄏㄢ2,xan2,U+51FD
刀,dau1,ㄉㄠ1,tɑʊ1,U+5200
刁,diau1,ㄉㄧㄠ1,tiɑʊ1,U+5201
分,fen1,ㄈㄣ1,fən1,U+5206
分,fen4,ㄈㄣ4,fən4,U+5206
切,cie5,ㄘㄧㄝ5,tsʰiɛ5,U+5207
刊,kan1,ㄎㄢ1,kʰan1,U+520A
刎,un3,ㄨㄣ3,uən3,U+520E
刑,xing2,ㄒㄧㄥ2,,U+5211
