title,file_base,raw_path,clean_path,categories,cjk_chars,sentences
丁仙芝,丁仙芝.txt,raw\丁仙芝.txt,clean\丁仙芝.txt,,54,4
丁儀,丁儀.txt,raw\丁儀.txt,clean\丁儀.txt,,34,2
丁儀文範,丁儀文範.txt,raw\丁儀文範.txt,clean\丁儀文範.txt,,84,4
丁儀正禮,丁儀正禮.txt,raw\丁儀正禮.txt,clean\丁儀正禮.txt,,351,16
丁先國,丁先國.txt,raw\丁先國.txt,clean\丁先國.txt,,386,20
丁先皇,丁先皇.txt,raw\丁先皇.txt,clean\丁先皇.txt,,574,32
丁卯胡亂,丁卯胡亂.txt,raw\丁卯胡亂.txt,clean\丁卯胡亂.txt,,288,19
丁奉,丁奉.txt,raw\丁奉.txt,clean\丁奉.txt,,696,46
丁曰健,丁曰健.txt,raw\丁曰健.txt,clean\丁曰健.txt,,495,32
丁汝昌,丁汝昌.txt,raw\丁汝昌.txt,clean\丁汝昌.txt,,751,34
丁沖,丁沖.txt,raw\丁沖.txt,clean\丁沖.txt,,136,7
丁玲,丁玲.txt,raw\丁玲.txt,clean\丁玲.txt,,296,15
丁謂,丁謂.txt,raw\丁謂.txt,clean\丁謂.txt,,1950,99
丁酉唐山榷卡之訌,丁酉唐山榷卡之訌.txt,raw\丁酉唐山榷卡之訌.txt,clean\丁酉唐山榷卡之訌.txt,,204,10
丁酉夏威夷誤報導彈事,丁酉夏威夷誤報導彈事.txt,raw\丁酉夏威夷誤報導彈事.txt,clean\丁酉夏威夷誤報導彈事.txt,,166,10
丁酉書會之獄,丁酉書會之獄.txt,raw\丁酉書會之獄.txt,clean\丁酉書會之獄.txt,,145,5
丁酉臺灣斷電,丁酉臺灣斷電.txt,raw\丁酉臺灣斷電.txt,clean\丁酉臺灣斷電.txt,,155,7
七出三不去,七出三不去.txt,raw\七出三不去.txt,clean\七出三不去.txt,,242,6
七分之廿二,七分之廿二.txt,raw\七分之廿二.txt,clean\七分之廿二.txt,,121,8
七十一年,七十一年.txt,raw\七十一年.txt,clean\七十一年.txt,,35,3
七十七年,七十七年.txt,raw\七十七年.txt,clean\七十七年.txt,,36,3
七十三年,七十三年.txt,raw\七十三年.txt,clean\七十三年.txt,,36,3
七十九年,七十九年.txt,raw\七十九年.txt,clean\七十九年.txt,,35,3
七十二年,七十二年.txt,raw\七十二年.txt,clean\七十二年.txt,,36,3
七十五年,七十五年.txt,raw\七十五年.txt,clean\七十五年.txt,,36,3
七十八年,七十八年.txt,raw\七十八年.txt,clean\七十八年.txt,,36,3
七十六年,七十六年.txt,raw\七十六年.txt,clean\七十六年.txt,,36,3
七十四年,七十四年.txt,raw\七十四年.txt,clean\七十四年.txt,,36,3
七十年,七十年.txt,raw\七十年.txt,clean\七十年.txt,,34,3
七國之亂,七國之亂.txt,raw\七國之亂.txt,clean\七國之亂.txt,,4591,293
七夕,七夕.txt,raw\七夕.txt,clean\七夕.txt,,601,37
七夕沒焉,七夕沒焉.txt,raw\七夕沒焉.txt,clean\七夕沒焉.txt,,78,5
七尾市,七尾市.txt,raw\七尾市.txt,clean\七尾市.txt,,175,8
七年,七年.txt,raw\七年.txt,clean\七年.txt,,59,5
七廟,七廟.txt,raw\七廟.txt,clean\七廟.txt,,68,4
七日七色,七日七色.txt,raw\七日七色.txt,clean\七日七色.txt,,194,6
七星壇,七星壇.txt,raw\七星壇.txt,clean\七星壇.txt,,332,8
七曜,七曜.txt,raw\七曜.txt,clean\七曜.txt,,214,10
七月初七,七月初七.txt,raw\七月初七.txt,clean\七月初七.txt,,78,6
七殺,七殺.txt,raw\七殺.txt,clean\七殺.txt,,94,8
七龍珠,七龍珠.txt,raw\七龍珠.txt,clean\七龍珠.txt,,620,37
万俟禼,万俟禼.txt,raw\万俟禼.txt,clean\万俟禼.txt,,810,38
丈夫國,丈夫國.txt,raw\丈夫國.txt,clean\丈夫國.txt,,192,16
三〇一年,三〇一年.txt,raw\三〇一年.txt,clean\三〇一年.txt,,62,5
三〇七年,三〇七年.txt,raw\三〇七年.txt,clean\三〇七年.txt,,41,3
三〇三年,三〇三年.txt,raw\三〇三年.txt,clean\三〇三年.txt,,90,6
三〇八年,三〇八年.txt,raw\三〇八年.txt,clean\三〇八年.txt,,57,5
三〇四年,三〇四年.txt,raw\三〇四年.txt,clean\三〇四年.txt,,54,4
三一〇年,三一〇年.txt,raw\三一〇年.txt,clean\三一〇年.txt,,106,8
三一一年,三一一年.txt,raw\三一一年.txt,clean\三一一年.txt,,51,4
三一三年,三一三年.txt,raw\三一三年.txt,clean\三一三年.txt,,61,4
三一九年,三一九年.txt,raw\三一九年.txt,clean\三一九年.txt,,80,6
三一八年,三一八年.txt,raw\三一八年.txt,clean\三一八年.txt,,120,8
三七案,三七案.txt,raw\三七案.txt,clean\三七案.txt,,64,4
三三七年,三三七年.txt,raw\三三七年.txt,clean\三三七年.txt,,78,6
三三三年,三三三年.txt,raw\三三三年.txt,clean\三三三年.txt,,114,8
三二一年,三二一年.txt,raw\三二一年.txt,clean\三二一年.txt,,69,5
三二九年,三二九年.txt,raw\三二九年.txt,clean\三二九年.txt,,93,6
三五〇年,三五〇年.txt,raw\三五〇年.txt,clean\三五〇年.txt,,104,8
三五一年,三五一年.txt,raw\三五一年.txt,clean\三五一年.txt,,73,6
三五二年,三五二年.txt,raw\三五二年.txt,clean\三五二年.txt,,96,7
三代,三代.txt,raw\三代.txt,clean\三代.txt,,119,7
三代之治,三代之治.txt,raw\三代之治.txt,clean\三代之治.txt,,153,7
三佛齊,三佛齊.txt,raw\三佛齊.txt,clean\三佛齊.txt,,71,6
三八三年,三八三年.txt,raw\三八三年.txt,clean\三八三年.txt,,53,5
三八五年,三八五年.txt,raw\三八五年.txt,clean\三八五年.txt,,110,8
三八六年,三八六年.txt,raw\三八六年.txt,clean\三八六年.txt,,221,15
三八四年,三八四年.txt,raw\三八四年.txt,clean\三八四年.txt,,64,4
三公,三公.txt,raw\三公.txt,clean\三公.txt,,102,3
三公九卿制,三公九卿制.txt,raw\三公九卿制.txt,clean\三公九卿制.txt,,255,23
三十六計,三十六計.txt,raw\三十六計.txt,clean\三十六計.txt,,1245,81
三十年,三十年.txt,raw\三十年.txt,clean\三十年.txt,,32,3
三十年戰爭,三十年戰爭.txt,raw\三十年戰爭.txt,clean\三十年戰爭.txt,,658,45
三原市,三原市.txt,raw\三原市.txt,clean\三原市.txt,,214,11
三四一年,三四一年.txt,raw\三四一年.txt,clean\三四一年.txt,,75,3
三四五年,三四五年.txt,raw\三四五年.txt,clean\三四五年.txt,,92,5
三國,三國.txt,raw\三國.txt,clean\三國.txt,,571,21
三國史記,三國史記.txt,raw\三國史記.txt,clean\三國史記.txt,,72,6
三國年號表,三國年號表.txt,raw\三國年號表.txt,clean\三國年號表.txt,,48,2
三國志,三國志.txt,raw\三國志.txt,clean\三國志.txt,,230,11
三國志人物列表,三國志人物列表.txt,raw\三國志人物列表.txt,clean\三國志人物列表.txt,,2015,177
三國時代,三國時代.txt,raw\三國時代.txt,clean\三國時代.txt,,30,1
三國演義,三國演義.txt,raw\三國演義.txt,clean\三國演義.txt,,279,10
三國演義人物列表,三國演義人物列表.txt,raw\三國演義人物列表.txt,clean\三國演義人物列表.txt,,2972,2
三國遺事,三國遺事.txt,raw\三國遺事.txt,clean\三國遺事.txt,,71,6
三好市 (德島縣),三好市 (德島縣).txt,raw\三好市 (德島縣).txt,clean\三好市 (德島縣).txt,,81,4
三好市 (愛知縣),三好市 (愛知縣).txt,raw\三好市 (愛知縣).txt,clean\三好市 (愛知縣).txt,,92,6
三字經,三字經.txt,raw\三字經.txt,clean\三字經.txt,,98,7
三官大帝,三官大帝.txt,raw\三官大帝.txt,clean\三官大帝.txt,,144,9
三山市,三山市.txt,raw\三山市.txt,clean\三山市.txt,,80,5
三島市,三島市.txt,raw\三島市.txt,clean\三島市.txt,,73,5
三島毅,三島毅.txt,raw\三島毅.txt,clean\三島毅.txt,,165,6
三島由紀夫,三島由紀夫.txt,raw\三島由紀夫.txt,clean\三島由紀夫.txt,,2006,138
三峽區,三峽區.txt,raw\三峽區.txt,clean\三峽區.txt,,151,3
三年,三年.txt,raw\三年.txt,clean\三年.txt,,94,7
三把火驛,三把火驛.txt,raw\三把火驛.txt,clean\三把火驛.txt,,47,4
三斤王,三斤王.txt,raw\三斤王.txt,clean\三斤王.txt,,183,12
三明市,三明市.txt,raw\三明市.txt,clean\三明市.txt,,115,5
三星電子,三星電子.txt,raw\三星電子.txt,clean\三星電子.txt,,168,14
三月〇日,三月〇日.txt,raw\三月〇日.txt,clean\三月〇日.txt,,43,4
三木市,三木市.txt,raw\三木市.txt,clean\三木市.txt,,106,7
三木武夫,三木武夫.txt,raw\三木武夫.txt,clean\三木武夫.txt,,111,5
三條市,三條市.txt,raw\三條市.txt,clean\三條市.txt,,195,11
三次市,三次市.txt,raw\三次市.txt,clean\三次市.txt,,231,11
三民主義,三民主義.txt,raw\三民主義.txt,clean\三民主義.txt,,200,8
三河國,三河國.txt,raw\三河國.txt,clean\三河國.txt,,59,4
三洞四輔十二類,三洞四輔十二類.txt,raw\三洞四輔十二類.txt,clean\三洞四輔十二類.txt,,373,15
三浦市,三浦市.txt,raw\三浦市.txt,clean\三浦市.txt,,68,4
三淸,三淸.txt,raw\三淸.txt,clean\三淸.txt,,1158,65
三澤市,三澤市.txt,raw\三澤市.txt,clean\三澤市.txt,,97,6
三猿,三猿.txt,raw\三猿.txt,clean\三猿.txt,,317,19
三田市,三田市.txt,raw\三田市.txt,clean\三田市.txt,,62,5
三痴人,三痴人.txt,raw\三痴人.txt,clean\三痴人.txt,,60,6
三皇五帝,三皇五帝.txt,raw\三皇五帝.txt,clean\三皇五帝.txt,,480,16
三省六部,三省六部.txt,raw\三省六部.txt,clean\三省六部.txt,,341,15
三笠市,三笠市.txt,raw\三笠市.txt,clean\三笠市.txt,,78,5
三維印製,三維印製.txt,raw\三維印製.txt,clean\三維印製.txt,,46,3
三綱五常,三綱五常.txt,raw\三綱五常.txt,clean\三綱五常.txt,,128,7
三船敏郎,三船敏郎.txt,raw\三船敏郎.txt,clean\三船敏郎.txt,,68,6
三荔車禍,三荔車禍.txt,raw\三荔車禍.txt,clean\三荔車禍.txt,,100,2
三表,三表.txt,raw\三表.txt,clean\三表.txt,,89,3
三豐市,三豐市.txt,raw\三豐市.txt,clean\三豐市.txt,,153,7
三豚,三豚.txt,raw\三豚.txt,clean\三豚.txt,,317,28
三鄕市,三鄕市.txt,raw\三鄕市.txt,clean\三鄕市.txt,,59,4
三酸兩鹼,三酸兩鹼.txt,raw\三酸兩鹼.txt,clean\三酸兩鹼.txt,,68,2
三重,三重.txt,raw\三重.txt,clean\三重.txt,,35,3
三重區,三重區.txt,raw\三重區.txt,clean\三重區.txt,,194,7
三重縣,三重縣.txt,raw\三重縣.txt,clean\三重縣.txt,,192,7
三門峽市,三門峽市.txt,raw\三門峽市.txt,clean\三門峽市.txt,,89,6
三鷹市,三鷹市.txt,raw\三鷹市.txt,clean\三鷹市.txt,,72,4
