corpus_root,grouping,work,author,times,pages,chars,empty_pages,min_juan,max_juan,gaps,src
四庫全書,史部/地理類/都會郡縣之屬,海鹽澉水志 (四庫全書本),,,8,13783,0,1,8,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,湖廣通志 (四庫全書本),,,121,1950957,0,1,121,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,滇畧 (四庫全書本),,,10,92587,0,1,10,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,無錫縣志 (四庫全書本),,,7,80487,0,1,7,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,甘肅通志 (四庫全書本),,,52,807334,0,1,52,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,畿輔通志 (四庫全書本),,,120,1777011,0,1,120,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,福建通志 (四庫全書本),,,82,2624360,0,1,82,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,至元嘉禾志 (四庫全書本),,,32,143996,0,1,32,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,至大金陵新志 (四庫全書本),,,29,370301,0,1,29,0,四庫全書/index.csv
四庫全書,史部/地理類/都會郡縣之屬,貴州通志 (四庫全書本),,,46,809289,0,1,46,0,四庫全書/index.csv
