cited_head,citations,leishu_count,leishu
漢書百官公卿表,48,3,北堂書鈔；太平御覽；御定淵鑑𩔖函
内則,48,6,北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函；玉海；白孔六帖
太公金匱,47,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海
八月詔,47,5,冊府元龜；御定淵鑑𩔖函；御定韻府拾遺；玉海；羣書考索
漢書百官表,47,6,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；職官分紀；藝文類聚
左𫝊,47,6,古今源流至論；圖書編；太平御覽；御定淵鑑𩔖函；稗編；羣書考索
兵略纂聞,47,1,御定淵鑑𩔖函
論語子,46,10,事類賦；初學記；名賢氏族言行類稿；太平御覽；山堂肆考；御定佩文韻府
世語,46,8,事類賦；北堂書鈔；古今事文類聚；太平御覽；御定淵鑑𩔖函；編珠
杜預,46,17,初學記；北堂書鈔；古今事文類聚；古今合璧事類備要；同姓名録；圖書編
韋昭,46,10,北堂書鈔；名疑；天中記；太平御覽；御定分類字錦；御定駢字類編
宋志,46,8,北堂書鈔；圖書編；天中記；太平御覽；御定淵鑑𩔖函；海録碎事
五經要義,45,9,事物紀原；事類賦；初學記；北堂書鈔；圖書編；太平御覽
禮運,45,8,事物紀原；事類賦；冊府元龜；北堂書鈔；圖書編；太平御覽
晉書載記,45,3,事類賦；太平御覽；御定淵鑑𩔖函
四月詔,45,3,冊府元龜；御定佩文韻府；御定淵鑑𩔖函
上疏,45,16,冊府元龜；北堂書鈔；天中記；御定佩文韻府；御定分類字錦；御定子史精華
姓纂,45,3,古今姓氏書辯證；名賢氏族言行類稿；萬姓統譜
漢書武帝紀詔,45,3,御定佩文韻府；御定子史精華；御定駢字類編
龍魚河圖,44,9,事物紀原；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；御定駢字類編
武昌記,44,6,事類賦；六帖補；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
二月詔,44,4,冊府元龜；御定子史精華；御定韻府拾遺；玉海
十二月詔,44,2,冊府元龜；厯代制度詳說
王隐晉書,44,4,北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
程子,44,8,古今源流至論；圖書編；御定淵鑑𩔖函；玉海；稗編；羣書考索
法言或,44,5,御定佩文韻府；御定分類字錦；御定韻府拾遺；御定駢字類編；玉海
册府元龜,44,2,御定淵鑑𩔖函；玉海
益州記,43,9,事類賦；初學記；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函
七月詔,43,2,冊府元龜；玉海
雲笈,43,2,御定淵鑑𩔖函；記纂淵海
實録,42,7,事物紀原；古今源流至論；廣博物志；御定淵鑑𩔖函；格致鏡原；玉海
地鏡圖,42,7,事類賦；初學記；太平御覽；御定淵鑑𩔖函；海録碎事；編珠
左傳叔向,42,9,初學記；北堂書鈔；小學紺珠；御定佩文韻府；御定分類字錦；御定淵鑑𩔖函
禮記曲禮,42,5,北堂書鈔；太平御覽；御定佩文韻府；御定淵鑑𩔖函；龍筋鳳髓判
鄭氏,42,7,圖書編；廣博物志；御定分類字錦；御定淵鑑𩔖函；玉海；稗編
洪範五行傳,41,6,事類賦；北堂書鈔；喻林；太平御覽；御定淵鑑𩔖函；藝文類聚
子路,41,13,全芳備祖集；冊府元龜；古今事文類聚；古今合璧事類備要；喻林；圖書編
尚書考靈曜,41,6,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事；藝文類聚
賈誼,41,14,北堂書鈔；天中記；太平御覽；小學紺珠；御定佩文韻府；御定淵鑑𩔖函
之語,41,18,古今合璧事類備要；名賢氏族言行類稿；天中記；太平御覽；廣博物志；御定佩文韻府
乎對,41,17,喻林；天中記；太平御覽；山堂肆考；帝王經世圖譜；廣博物志
寰宇記,41,4,圖書編；御定淵鑑𩔖函；玉海；駢志
易氏,41,1,玉海
韓詩,40,9,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；山堂肆考
劉向别録,40,12,事物紀原；事類賦；初學記；北堂書鈔；古儷府；名疑
潯陽記,40,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖；藝文類聚
豫章記,40,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；編珠
東方朔,40,17,全芳備祖集；六帖補；北堂書鈔；古今事文類聚；古今合璧事類備要；天中記
隋志,40,5,六帖補；圖書編；御定淵鑑𩔖函；玉海；羣書考索
十月詔,40,2,冊府元龜；御定淵鑑𩔖函
十一月詔,40,6,冊府元龜；古今源流至論；山堂肆考；御定佩文韻府；御定淵鑑𩔖函；御定韻府拾遺
九月詔,40,3,冊府元龜；御定淵鑑𩔖函；玉海
曾子,40,12,冊府元龜；初學記；北堂書鈔；喻林；圖書編；太平御覽
三輔舊事,40,6,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海；藝文類聚
増易,40,1,御定淵鑑𩔖函
本草集解,40,1,御定淵鑑𩔖函
唐志,39,7,事物紀原；北堂書鈔；圖書編；御定淵鑑𩔖函；御定駢字類編；玉海
祭義,39,7,事物紀原；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函；稗編
兵書,39,10,事類賦；北堂書鈔；太平御覽；御定佩文韻府；御定淵鑑𩔖函；書叙指南
竹林七賢論,39,6,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
國史補,39,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖；翰苑新書
陳留風俗傳,39,10,事類賦；元和姓纂；初學記；北堂書鈔；古今合璧事類備要；古今姓氏書辯證
五月詔,39,5,冊府元龜；山堂肆考；御定佩文韻府；御定分類字錦；御定韻府拾遺
漢官典職,39,6,北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海；編珠；藝文類聚
許慎說文,38,5,事物紀原；初學記；太平御覽；御定淵鑑𩔖函；白孔六帖
湘州記,38,8,事類賦；初學記；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函
詩義疏,38,7,事類賦；初學記；太平御覽；御定淵鑑𩔖函；御定駢字類編；玉海
臨海水土記,38,4,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
董仲舒,38,16,北堂書鈔；古今合璧事類備要；天中記；太平御覽；小學紺珠；山堂肆考
言行録,38,2,古今源流至論；御定淵鑑𩔖函
邵子,38,8,圖書編；太平御覽；小學紺珠；帝王經世圖譜；御定淵鑑𩔖函；玉海
陳留耆舊傳,37,5,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
吴越春秋,37,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖；藝文類聚
子夏,37,16,冊府元龜；北堂書鈔；古今事文類聚；古今合璧事類備要；喻林；圖書編
韓詩外𫝊,37,2,太平御覽；御定淵鑑𩔖函
筆談,36,4,事物紀原；古今合璧事類備要；御定淵鑑𩔖函；翰苑新書
呉録,36,8,事類賦；初學記；北堂書鈔；古今合璧事類備要；太平御覽；御定淵鑑𩔖函
左思吳都賦,36,5,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；編珠
東方朔傳,36,9,事類賦；初學記；北堂書鈔；喻林；圖書編；太平御覽
載記,36,3,事類賦；太平御覽；御定淵鑑𩔖函
子思,36,14,全芳備祖集；冊府元龜；北堂書鈔；古今合璧事類備要；天中記；太平御覽
愽物志,36,2,六帖補；太平御覽
君子,36,13,冊府元龜；古今事文類聚；古今合璧事類備要；喻林；圖書編；天中記
左傳晏子,36,9,北堂書鈔；小學紺珠；御定佩文韻府；御定分類字錦；御定淵鑑𩔖函；御定韻府拾遺
元和郡縣志,36,2,太平御覽；御定淵鑑𩔖函
吾學編,36,1,御定淵鑑𩔖函
晉公卿禮秩,35,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海；藝文類聚
潘岳間居賦,35,8,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
廣五行記,35,3,事類賦；太平御覽；御定淵鑑𩔖函
也又,35,17,初學記；北堂書鈔；古今合璧事類備要；古今姓氏書辯證；古今源流至論；圖書編
蕭廣濟孝子傳,35,5,北堂書鈔；太平御覽；御定淵鑑𩔖函；編珠；藝文類聚
書王,35,4,御定佩文韻府；御定分類字錦；御定韻府拾遺；御定駢字類編
漢書宣帝紀詔,35,5,御定佩文韻府；御定分類字錦；御定子史精華；御定韻府拾遺；御定駢字類編
瑞應圗,34,6,事物紀原；初學記；太平御覽；御定淵鑑𩔖函；海録碎事；藝文類聚
揚子,34,8,事類賦；冊府元龜；圖書編；山堂肆考；御定淵鑑𩔖函；玉海
鄒子,34,10,事類賦；初學記；北堂書鈔；太平御覽；山堂肆考；御定淵鑑𩔖函
臨海記,34,6,事類賦；圖書編；太平御覽；御定淵鑑𩔖函；編珠；藝文類聚
呉書,34,7,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖；藝文類聚
師曠,34,16,事類賦；北堂書鈔；古今合璧事類備要；太平御覽；小學紺珠；廣博物志
其名,34,15,冊府元龜；北堂書鈔；名疑；喻林；圖書編；太平御覽
魚豢魏略,34,4,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
禹貢,34,8,初學記；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函；玉海
玉藻,34,7,北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函；玉海；經濟類編
開元遺事,34,5,北堂書鈔；御定淵鑑𩔖函；編珠；翰苑新書；駢志
呉氏本草,34,2,太平御覽；御定淵鑑𩔖函
管子桓公,34,7,御定佩文韻府；御定分類字錦；御定子史精華；御定韻府拾遺；御定駢字類編；玉海
蔡邕,33,12,事物紀原；古今事文類聚；天中記；太平御覽；小學紺珠；山堂肆考
鹽鐡論,33,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚；駢志
漢官解詁,33,5,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
荀卿子,33,4,太平御覽；御定淵鑑𩔖函；白孔六帖；藝文類聚
南夷志,33,1,太平御覽
尚書大𫝊,33,3,太平御覽；御定淵鑑𩔖函；藝文類聚
蘇軾詩,33,2,御定佩文韻府；御定淵鑑𩔖函
宋史傳,33,1,御定淵鑑𩔖函
何法盛晉中興書,32,5,事物紀原；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
杜陽編,32,4,事類賦；北堂書鈔；御定淵鑑𩔖函；編珠
春秋孔演圖,32,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
晉志,32,10,六帖補；圖書編；天中記；太平御覽；御定淵鑑𩔖函；玉海
宋均注,32,5,初學記；天中記；太平御覽；廣博物志；錦繡萬花谷
王韶之始興記,32,6,初學記；太平御覽；御定淵鑑𩔖函；白孔六帖；編珠；藝文類聚
易象,32,5,北堂書鈔；御定佩文韻府；御定分類字錦；御定韻府拾遺；御定駢字類編
朱文公,32,5,古今事文類聚；小學紺珠；玉海；翰苑新書；讀書紀數畧
髙僧傳,31,4,事物紀原；初學記；太平御覽；御定淵鑑𩔖函
晉東宫舊事,31,6,事物紀原；初學記；太平御覽；御定淵鑑𩔖函；海録碎事；白孔六帖
蘇子,31,13,事類賦；初學記；北堂書鈔；喻林；太平御覽；山堂肆考
齊地記,31,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；編珠；藝文類聚
襄陽耆舊傳,31,8,事類賦；北堂書鈔；太平御覽；小名録；御定淵鑑𩔖函；海録碎事
