page_number,final_label,initial_label,character,chars_raw,romanization,occurrence_count,manchu_script,source_chunk
6,iao,q,巧,巧,kiyao,,ᡴᡳᠶᠠᠣ,巧 kiyao / kiyoo
6,iao,q,巧,巧,kiyoo,,ᡴᡳᠶᠣᠣ,巧 kiyao / kiyoo
6,iao,q,悄,悄,kiyoo,,ᡴᡳᠶᠣᠣ,悄 kiyoo
6,iao,q,喬,喬,kiyoo,,ᡴᡳᠶᠣᠣ,喬 kiyoo
6,iao,x,小,小,siyao,2,ᠰᡳᠶᠠᠣ,小 siyao 2 / siyoo 15
6,iao,x,小,小,siyoo,15,ᠰᡳᠶᠣᠣ,小 siyao 2 / siyoo 15
6,iao,x,笑,笑,hiyao,,ᡥᡳᠶᠠᠣ,笑 hiyao / hiyoo 2
6,iao,x,笑,笑,hiyoo,2,ᡥᡳᠶᠣᠣ,笑 hiyao / hiyoo 2
6,iao,x,消,消,siyoo,,ᠰᡳᠶᠣᠣ,消 siyoo
6,iao,x,暁,暁,hiyao,,ᡥᡳᠶᠠᠣ,暁 hiyao
6,iao,x,効,効,hiyao,,ᡥᡳᠶᠠᠣ,効 hiyao
6,iao,y,要,要,yao,55,ᠶᠠᠣ,要 yao 55
6,iao,y,薬,薬,yo,3,ᠶᠣ,薬 yo 3
7,ou,d,斗,斗,deo,,ᡩᡝᠣ,斗 deo
7,ou,t,頭,頭,teo,25,ᡨᡝᠣ,頭 teo 25
7,ou,t,偸,偸,teo,,ᡨᡝᠣ,偸 teo
7,ou,l,楼,楼,leo,,ᠯᡝᠣ,楼 leo
7,ou,z,走,走,dzeo,16,ᡯᡝᠣ,走 dzeo 16 / dzao
7,ou,z,走,走,dzao,,ᡯᠠᠣ,走 dzeo 16 / dzao
7,ou,sh,受,受,šeo,9,ᡧᡝᠣ,受 šeo 9
7,ou,sh,収,収,šeo,7,ᡧᡝᠣ,収 šeo 7
7,ou,sh,手,手,šeo,3,ᡧᡝᠣ,手 šeo 3
7,ou,sh,寿,寿,šeo,,ᡧᡝᠣ,寿 šeo
7,ou,sh,守,守,šeo,,ᡧᡝᠣ,守 šeo
7,ou,zh,洲,洲,jeo,3,ᠵᡝᠣ,洲 jeo 3
7,ou,zh,周,周,jeo,,ᠵᡝᠣ,周 jeo
7,ou,ch,稠,稠,ceo,2,ᠴᡝᠣ,稠 ceo 2
7,ou,r,肉,肉,žeo,6,ᡰᡝᠣ,肉 žeo 6
7,ou,k,口,口,keo,10,ᡴᡝᠣ,口 keo 10
7,ou,h,候,候,heo,20,ᡥᡝᠣ,候 heo 20
7,ou,h,後,後,heo,18,ᡥᡝᠣ,後 heo 18
7,ou,h,厚,厚,heo,,ᡥᡝᠣ,厚 heo
7,ou,∅,嘔,嘔,eo,3,ᡝᠣ,嘔 eo 3
7,iou,n,牛,牛,nio,5,ᠨᡳᠣ,牛 nio 5
7,iou,n,扭,扭,nio,,ᠨᡳᠣ,扭 nio
7,iou,l,留,留,lio,2,ᠯᡳᠣ,留 lio 2
7,iou,l,六,六,lio,2,ᠯᡳᠣ,六 lio 2
7,iou,j,就,就,gio,81,ᡤᡳᠣ,就 gio 81
7,iou,j,酒,酒,gio,22,ᡤᡳᠣ,酒 gio 22
7,iou,j,久,久,gio,5,ᡤᡳᠣ,久 gio 5
