glyph,moe_id,grade,canonical_moe_id,canonical_glyph
󰄦,A00056-006,異體字 ,A00056,些
亞,A00057,正字 ,A00057,亞
亜,A00057-001,異體字 ,A00057,亞
󰄧,A00057-002,異體字 ,A00057,亞
󰄨,A00057-003,異體字 ,A00057,亞
𠄮,A00057-004,異體字 ,A00057,亞
󰄩,A00057-005,異體字 ,A00057,亞
󰄪,A00057-006,異體字 ,A00057,亞
俹,A00057-007,異體字 ,A00057,亞
󰄫,A00057-008,異體字 ,A00057,亞
󰄬,A00057-009,異體字 ,A00057,亞
䢝,A00057-010,異體字 ,A00057,亞
亟,A00058,正字 ,A00058,亟
𠄹,A00058-001,異體字 ,A00058,亟
𠯉,A00058-002,異體字 ,A00058,亟
焏,A00058-003,異體字 ,A00058,亟
󰄭,A00058-004,異體字 ,A00058,亟
󰄮,A00058-005,異體字 ,A00058,亟
󰄯,A00058-006,異體字 ,A00058,亟
󰄰,A00058-006-1,異體字 ,A00058,亟
󰄱,A00058-006-2,異體字 ,A00058,亟
𦯃,A00058-006-3,異體字 ,A00058,亟
𦱩,A00058-006-4,異體字 ,A00058,亟
䓧,A00058-006-5,異體字 ,A00058,亟
󰄲,A00058-007-1,異體字 ,A00058,亟
󰄳,A00058-008,異體字 ,A00058,亟
󰄵,A00058-012,異體字 ,A00058,亟
󰄶,A00058-013,異體字 ,A00058,亟
󰄷,A00058-014,異體字 ,A00058,亟
亡,A00059,正字 ,A00059,亡
亾,A00059-001,異體字 ,A00059,亡
兦,A00059-002,異體字 ,A00059,亡
󰄸,A00059-006,異體字 ,A00059,亡
󰄹,A00059-007,異體字 ,A00059,亡
󰄺,A00059-008,異體字 ,A00059,亡
󰄻,A00059-009,異體字 ,A00059,亡
交,A00060,正字 ,A00060,交
󰄼,A00060-001,異體字 ,A00060,交
󰄽,A00060-002,異體字 ,A00060,交
󰄾,A00060-003,異體字 ,A00060,交
󰄿,A00060-004,異體字 ,A00060,交
㬵,A00060-005,異體字 ,A00060,交
亦,A00061,正字 ,A00061,亦
𠅃,A00061-001,異體字 ,A00061,亦
𡖋,A00061-002,異體字 ,A00061,亦
𡗕,A00061-003,異體字 ,A00061,亦
𥩖,A00061-005,異體字 ,A00061,亦
󰅀,A00061-006,異體字 ,A00061,亦
󰅁,A00061-007,異體字 ,A00061,亦
󰅂,A00061-008,異體字 ,A00061,亦
󰅃,A00061-010,異體字 ,A00061,亦
󰅄,A00061-011,異體字 ,A00061,亦
󰅅,A00061-012,異體字 ,A00061,亦
󰅆,A00061-013,異體字 ,A00061,亦
󰅇,A00061-014,附錄字 ,A00061,亦
亥,A00062,正字 ,A00062,亥
𠀅,A00062-001,異體字 ,A00062,亥
𠦇,A00062-002,異體字 ,A00062,亥
𢁓,A00062-003,異體字 ,A00062,亥
𢁳,A00062-005,異體字 ,A00062,亥
󰅈,A00062-008,異體字 ,A00062,亥
󰅉,A00062-009,異體字 ,A00062,亥
󰅊,A00062-010,異體字 ,A00062,亥
󰅋,A00062-011,異體字 ,A00062,亥
󰅌,A00062-012,異體字 ,A00062,亥
󰅍,A00062-014,異體字 ,A00062,亥
󰅎,A00062-015,異體字 ,A00062,亥
󰅏,A00062-016,異體字 ,A00062,亥
𧰧,A00062-019,異體字 ,A00062,亥
󰅐,A00062-020,異體字 ,A00062,亥
亨,A00063,正字 ,A00063,亨
𠅖,A00063-001,異體字 ,A00063,亨
󰅑,A00063-002,異體字 ,A00063,亨
亯,A00063-003,異體字 ,A00063,亨
󰅒,A00063-004,異體字 ,A00063,亨
享,A00063-005,異體字 ,A00063,亨
享,A00064,正字 ,A00064,享
亯,A00064-001,異體字 ,A00064,享
𠅠,A00064-002,異體字 ,A00064,享
𦕺,A00064-003,異體字 ,A00064,享
𦴒,A00064-004,異體字 ,A00064,享
󰅒,A00064-005,異體字 ,A00064,享
󰅓,A00064-006,異體字 ,A00064,享
